task,ansatz,n_qubits,reps,entanglement,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,11,13,94.74,0.7803,ok,0.5423728813559322,0.5160714285714285,0.5169172932330827,0.5150684931506849
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,12,14,92.56,0.8087,ok,0.6610169491525424,0.6358695652173914,0.6409774436090225,0.6375921375921376
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,13,15,95.37,0.8297,ok,0.5333333333333333,0.5625,0.5645933014354066,0.5328142380422691
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,14,16,93.4,0.9221,ok,0.39344262295081966,0.41208791208791207,0.40675990675990675,0.39082321187584346
WESAD_binary_VQC,EfficientSU2,4,1,linear,EfficientSU2_n4_r1_linear,15,17,93.01,0.8631,ok,0.7049180327868853,0.6993534482758621,0.7116704805491991,0.6983516483516483
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,1,2,93.62,0.8198,ok,0.625,0.6041666666666666,0.6137980085348507,0.6036400404448938
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,2,3,95.15,0.8606,ok,0.47368421052631576,0.4814814814814815,0.4797297297297297,0.465625
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,3,4,93.63,0.8485,ok,0.5614035087719298,0.5537037037037037,0.5587837837837838,0.5474753890123849
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,4,5,94.22,0.8489,ok,0.6440677966101694,0.6313657407407407,0.6455128205128206,0.6287084207371891
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,5,6,93.31,0.8754,ok,0.559322033898305,0.5474537037037037,0.5513784461152882,0.5434523809523809
WESAD_binary_VQC,EfficientSU2,4,1,circular,EfficientSU2_n4_r1_circular,6,7,93.74,0.7987,ok,0.5084745762711864,0.5528255528255528,0.5551282051282052,0.5079091170549324
