task,feature_map,n_qubits,reps,entanglement,scaler,config,fold,test_subject,train_time,test_time,status,accuracy,precision,recall,f1
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,2,3,2.67,0.0,ok,0.3684210526315789,0.3932225063938619,0.38716216216216215,0.3666666666666667
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,3,4,2.76,0.001,ok,0.6491228070175439,0.6214285714285714,0.6263513513513514,0.623015873015873
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,4,5,2.64,0.001,ok,0.6610169491525424,0.6104651162790697,0.5974358974358974,0.6002710027100271
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,5,6,2.74,0.0,ok,0.3559322033898305,0.4011627906976744,0.41478696741854637,0.35127314814814814
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,6,7,2.63,0.0,ok,0.4067796610169492,0.5514705882352942,0.5269230769230769,0.38118070122864844
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,7,8,2.65,0.001,ok,0.8135593220338984,0.8132267441860466,0.7700501253132832,0.7834501167834501
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,8,9,2.34,0.0,ok,0.3620689655172414,0.3620689655172414,0.34736842105263155,0.3463295766067621
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,9,10,2.47,0.0,ok,0.3,0.32386363636363635,0.35167464114832536,0.29292929292929293
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,10,11,2.25,0.001,ok,0.9322033898305084,0.9199999999999999,0.9473684210526316,0.9287439613526569
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,11,13,2.65,0.001,ok,0.5423728813559322,0.6260504201680672,0.612781954887218,0.5402597402597402
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,12,14,2.51,0.0,ok,0.5423728813559322,0.5549768518518519,0.5595238095238095,0.5375907111756169
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,13,15,2.53,0.0,ok,0.5666666666666667,0.5666666666666667,0.5717703349282297,0.5588235294117647
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,14,16,2.67,0.0,ok,0.5573770491803278,0.5154761904761904,0.5151515151515151,0.5151604356785399
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,standard,ZZFeatureMap_n3_r1_circular_standard,15,17,2.74,0.001,ok,0.5901639344262295,0.5542682926829269,0.5509153318077803,0.5510744774801295
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,1,2,2.7,0.001,ok,0.7857142857142857,0.7799642218246869,0.7226173541963016,0.7375
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,2,3,2.42,0.001,ok,0.7017543859649122,0.716501240694789,0.7358108108108108,0.6984126984126984
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,3,4,2.63,0.001,ok,0.9298245614035088,0.9337606837606838,0.9114864864864864,0.9210526315789473
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,4,5,2.77,0.0,ok,0.7457627118644068,0.7546082949308757,0.7833333333333333,0.7410008779631256
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,5,6,2.64,0.0,ok,0.6271186440677966,0.7441860465116279,0.7105263157894737,0.6244212962962963
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,6,7,2.62,0.001,ok,0.3389830508474576,0.1694915254237288,0.5,0.25316455696202533
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,7,8,2.58,0.001,ok,0.6101694915254238,0.6491545893719807,0.6547619047619048,0.6097210238711532
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,8,9,2.6,0.0,ok,0.5,0.3769230769230769,0.4052631578947368,0.3859072654253377
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,9,10,2.57,0.0009,ok,0.45,0.5849673202614379,0.5466507177033493,0.42290877295249196
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,10,11,2.59,0.001,ok,0.4406779661016949,0.5151515151515151,0.512531328320802,0.43483309143686505
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,11,13,2.59,0.0,ok,0.6440677966101694,0.75,0.7236842105263158,0.6424242424242423
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,12,14,2.56,0.001,ok,0.576271186440678,0.5891203703703703,0.5964912280701754,0.5718432510885341
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,13,15,2.7,0.0,ok,0.43333333333333335,0.475,0.47607655502392343,0.43270300333704115
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,14,16,2.63,0.001,ok,0.8360655737704918,0.84375,0.8717948717948718,0.8338779956427015
WESAD_binary_QSVM,ZZFeatureMap,3,1,circular,robust,ZZFeatureMap_n3_r1_circular_robust,15,17,2.53,0.0,ok,0.8524590163934426,0.8417792792792793,0.847254004576659,0.8442553191489361
